"","Variable.code","Unit","Country.code","Country","Dataset_type","Classification","Classification.code","Definition","Sector.code","Description","Year","Value"
"1","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","582, 62, 631, 951","a) ICT sector (comprehensive definition)","CB","[9] Computer and related activities   [9=10+11+12+13]",1995,"818,060318509607"
"2","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","582, 62, 631, 951","a) ICT sector (comprehensive definition)","CB","[9] Computer and related activities   [9=10+11+12+13]",1996,"888,339057495661"
"3","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","582, 62, 631, 951","a) ICT sector (comprehensive definition)","CB","[9] Computer and related activities   [9=10+11+12+13]",1997,"1040,38073661591"
"4","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","582, 62, 631, 951","a) ICT sector (comprehensive definition)","CB","[9] Computer and related activities   [9=10+11+12+13]",1998,"1436,22753526793"
"5","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","582, 62, 631, 951","a) ICT sector (comprehensive definition)","CB","[9] Computer and related activities   [9=10+11+12+13]",1999,"1691,01123301636"
"6","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","582, 62, 631, 951","a) ICT sector (comprehensive definition)","CB","[9] Computer and related activities   [9=10+11+12+13]",2000,"1892,36315876966"
"7","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","582, 62, 631, 951","a) ICT sector (comprehensive definition)","CB","[9] Computer and related activities   [9=10+11+12+13]",2001,"2446,70158741215"
"8","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","582, 62, 631, 951","a) ICT sector (comprehensive definition)","CB","[9] Computer and related activities   [9=10+11+12+13]",2002,"2434,62883891241"
"9","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","582, 62, 631, 951","a) ICT sector (comprehensive definition)","CB","[9] Computer and related activities   [9=10+11+12+13]",2003,"2515,77426803178"
"10","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","582, 62, 631, 951","a) ICT sector (comprehensive definition)","CB","[9] Computer and related activities   [9=10+11+12+13]",2004,"2807,22821760872"
"11","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","582, 62, 631, 951","a) ICT sector (comprehensive definition)","CB","[9] Computer and related activities   [9=10+11+12+13]",2005,"3048,65248899802"
"12","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","582, 62, 631, 951","a) ICT sector (comprehensive definition)","CB","[9] Computer and related activities   [9=10+11+12+13]",2006,"3163,4065187138"
"13","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","582, 62, 631, 951","a) ICT sector (comprehensive definition)","CB","[9] Computer and related activities   [9=10+11+12+13]",2007,"3722,28792546289"
"14","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","582, 62, 631, 951","a) ICT sector (comprehensive definition)","CB","[9] Computer and related activities   [9=10+11+12+13]",2008,"3844,48558506602"
"15","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","582, 62, 631, 951","a) ICT sector (comprehensive definition)","CB","[9] Computer and related activities   [9=10+11+12+13]",2009,"3752,66064111453"
"16","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","582, 62, 631, 951","a) ICT sector (comprehensive definition)","CB","[9] Computer and related activities   [9=10+11+12+13]",2010,"3886,88604963874"
